protein	previous_mg_gDW	modified_mg_gDW	flex_mass_mg_gDW	fold_change
P16451	0.015413923384667414	0.46817640950740363	0.45276248612273623	30.37360429422593
P33330	0.2053005399367211	1.0488996942749669	0.8435991543382457	5.1090936955074
P27472	0.025410143732918604	0.18734876586406599	0.16193862213114738	7.372991189394864
P38698	0.016928058663478077	0.15270406476179577	0.1357760060983177	9.020766515374353
P07285	0.03735583357525305	0.1760104558664265	0.13865462229117345	4.711726095252425
Q05979	0.026876241690325955	0.06903309464904048	0.04215685295871452	2.5685546157999015
P32264	0.018532011528914465	0.053367281313286885	0.034835269784372416	2.8797349510613506
P47125	0.009396792465483174	0.01778474261892163	0.008387950153438455	1.8926397155465065
P00044	0.05948236179883932	0.2064046023751806	0.1469222405763413	3.4700135659241456
Q01574	0.06493959567368007	0.06493959567368007	0.0	1.0
P49367	0.7906964159204685	1.5803615289623387	0.7896651130418703	1.9986957031069912
P37299	0.0945183794599109	0.10363674382470041	0.009118364364789508	1.0964718652276193
P07256	0.5524809919134764	0.6057798637061623	0.05329887179268589	1.0964718652275969
P00163	0.4801925257421121	0.5265175943688026	0.04632506862669056	1.096471865227593
P07257	0.44523623458377254	0.4881890046009803	0.042952770017207764	1.0964718652275953
P07143	0.3745866882936513	0.4107237648027665	0.036137076509115185	1.0964718652275922
P08067	0.2570024364111305	0.28179594081975157	0.024793504408621048	1.0964718652276064
P00127	0.18981772074242884	0.20812979031570525	0.018312069573276413	1.0964718652276138
P00128	0.1602071682571417	0.17566265260174113	0.015455484344599424	1.0964718652276064
P08525	0.12071909863522859	0.13236509524916643	0.011645996613937837	1.0964718652276224
P22289	0.08223198008172393	0.09016505258157341	0.00793307249984948	1.0964718652276817
Q12189	0.05450145198167168	0.2568258858989301	0.2023244339172584	4.712276032302739
P20485	0.05452403402063208	0.07275376181913074	0.018229727798498657	1.3343429760094505
P00401	0.27961048753338874	0.2993445614507792	0.01973407391739046	1.07057701623239
P00420	0.14437522367280708	0.15456479617751717	0.010189572504710087	1.0705770162323862
P00410	0.1358487158979252	0.1454365129250044	0.009587797027079209	1.0705770162324049
P07255	0.0331121436901765	0.0354490999928871	0.002336956302710594	1.0705770162323833
P12695	0.2950317924047663	2.674040517156942	2.3790087247521754	9.063567337476346
P38705	0.003925578898246396	0.28903326096883963	0.2851076820705932	73.62818795922158
P16387	0.36480266410446566	0.9566024137296242	0.5917997496251586	2.622246238464118
P00937	0.08643967594282718	0.09689906055209432	0.010459384609267139	1.1210021265718901
P81451	0.371771694945478	0.3770924309310249	0.005320735985546887	1.0143118372320603
P32473	0.6196716319622662	0.8267862045945745	0.20711457263230837	1.3342327806365037
P09624	0.6010326641431301	0.6909254596856	0.08989279554246998	1.1495639104251127
P05375	0.024400540690595128	0.024737504405018408	0.0003369637144232801	1.0138096822810634
P05374	1.6827948257664744	1.706033687654527	0.023238861888052575	1.0138096822810634
P32332	0.030348657668986128	0.0662477160053423	0.03589905833635616	2.1828878472289763
P07251	8.676186155043027	8.800358319089	0.12417216404597298	1.0143118372320536
P00856	0.2872915858737157	0.2914032562888807	0.00411167041516497	1.0143118372320599
P81450	0.33002509899062105	0.33474836448987183	0.004723265499250784	1.0143118372320676
P00830	8.111570846633313	8.227662328285604	0.11609148165229044	1.0143118372319306
P61829	3.8287451301857818	3.8835415072920396	0.05479637710625784	1.0143118372320592
P38077	1.6950795716846534	1.7193392746099863	0.02425970292533286	1.0143118372320554
P00854	1.435915124929442	1.4564657084764925	0.020550583547050527	1.014311837232065
P21306	0.3327391211862686	0.3375012293294267	0.004762108143158139	1.0143118372320648
P81449	0.5366855527245878	0.5443665089999771	0.007680956275389228	1.014311837232054
P05626	1.3286372294142705	1.3476524691820873	0.019015239767816716	1.0143118372320483
P09457	1.1257764067541924	1.141888335447359	0.016111928693166577	1.0143118372320663
P30902	0.9775414490139027	0.9915318631196713	0.013990414105768623	1.014311837231947
Q12165	0.839866504907362	0.8518865376222516	0.012020032714889606	1.0143118372320556
Q12349	0.69715828327444	0.7071358991496576	0.009977615875217616	1.0143118372320765
Q12233	0.6375978325445247	0.6467230289434261	0.009125196398901414	1.0143118372320756
Q06405	0.5582003468572905	0.5661892193644483	0.007988872507157851	1.0143118372321618
